,title,appeared,type,rank,factCount,lastActivity,exampleCount,bookCount,paperCount,numberOfUsers,numberOfJobs,originCommunity,country,wikipedia.summary,wikipedia.related
0,Java,1995,pl,0,920,2022,20,401,37,5550123,85206,Sun Microsystems,United States,java general-purpose computer programming language concurrent class-based object-oriented specifically designed implementation dependencies possible intended let application developers `` write run anywhere '' wora meaning compiled java code run platforms support java without need recompilation java applications typically compiled bytecode run java virtual machine jvm regardless computer architecture 2016 java one popular programming languages use particularly client-server web applications reported 9 million developers java originally developed james gosling sun microsystems since acquired oracle corporation released 1995 core component sun microsystems java platform language derives much syntax c c++ fewer low-level facilities either original reference implementation java compilers virtual machines class libraries originally released sun proprietary licenses may 2007 compliance specifications java community process sun relicensed java technologies gnu general public license others also developed alternative implementations sun technologies gnu compiler java bytecode compiler gnu classpath standard libraries icedtea-web browser plugin applets latest version java 9 released september 21 2017 one two versions currently supported free oracle versions earlier java 8 supported companies commercial basis e.g oracle back java 6 october 2017 still `` highly recommend uninstall '' pre-java 8 least windows computers,javascript pizza ada csharp eiffel mesa modula-3 oberon objective-c ucsd-pascal object-pascal beanshell chapel clojure ecmascript fantom gambas groovy hack jsharp kotlin php python scala seed7 vala java-bytecode jvm c oak linux solaris arm eclipse-editor html http mime java-server-pages motif-software android xml java-ee-version-history
1,JavaScript,1995,pl,1,818,2022,54,351,48,5962666,63993,Netscape,United States,javascript often abbreviated js high-level dynamic weakly typed prototype-based multi-paradigm interpreted programming language alongside html css javascript one three core technologies world wide web content production used make webpages interactive provide online programs including video games majority websites employ modern web browsers support without need plug-ins means built-in javascript engine many javascript engines represent different implementation javascript based ecmascript specification engines supporting spec fully many engines supporting additional features beyond ecma multi-paradigm language javascript supports event-driven functional imperative including object-oriented prototype-based programming styles api working text arrays dates regular expressions basic manipulation dom language include i/o networking storage graphics facilities relying upon host environment embedded initially implemented client-side web browsers javascript engines embedded many types host software including server-side web servers databases non-web programs word processors pdf software runtime environments make javascript available writing mobile desktop applications including desktop widgets although strong outward similarities javascript java including language name syntax respective standard libraries two languages distinct differ greatly design javascript influenced programming languages self scheme,java lua scheme perl self c python awk hypertalk actionscript coffeescript dart livescript objective-j opa perl-6 qml typescript json ecmascript html regex pdf tcl c-- vbscript jscript jquery npm-pm mongodb sql max unity-engine google-apps-script objective-c applescript visual-studio-editor asmjs processing oberon smalltalk scala racket llvmir fantom haxe clojure kotlin squeak wasm
2,C,1972,pl,2,426,2022,26,78,19,3793768,59919,Bell Labs,United States,c letter c general-purpose imperative computer programming language supporting structured programming lexical variable scope recursion static type system prevents many unintended operations design c provides constructs map efficiently typical machine instructions therefore found lasting use applications formerly coded assembly language including operating systems well various application software computers ranging supercomputers embedded systems c originally developed dennis ritchie 1969 1973 bell labs used re-implement unix operating system since become one widely used programming languages time c compilers various vendors available majority existing computer architectures operating systems c standardized american national standards institute ansi since 1989 see ansi c subsequently international organization standardization iso c imperative procedural language designed compiled using relatively straightforward compiler provide low-level access memory provide language constructs map efficiently machine instructions require minimal run-time support despite low-level capabilities language designed encourage cross-platform programming standards-compliant portably written c program compiled wide variety computer platforms operating systems changes source code language become available wide range platforms embedded microcontrollers supercomputers,cyclone unified-parallel-c split-c cilk b bcpl cpl algol-68 assembly-language pl-i ampl awk c-- csharp objective-c d go java javascript julia limbo lpc perl php pike processing python rust seed7 vala verilog unix algol swift multics unicode fortran pascal mathematica matlab ch smalltalk
3,Python,1991,pl,3,691,2022,35,342,52,2818037,46976,Centrum Wiskunde & Informatica,Netherlands,python widely used high-level programming language general-purpose programming created guido van rossum first released 1991 interpreted language python design philosophy emphasizes code readability notably using whitespace indentation delimit code blocks rather curly brackets keywords syntax allows programmers express concepts fewer lines code might used languages c++ java provides constructs enable clear programming small large scales python features dynamic type system automatic memory management supports multiple programming paradigms including object-oriented imperative functional procedural large comprehensive standard library python interpreters available many operating systems cpython reference implementation python open source software community-based development model nearly variant implementations cpython managed non-profit python software foundation,jython micropython stackless-python cython abc algol-68 c dylan haskell icon java lisp modula-3 perl boo cobra coffeescript d f-sharp falcon genie go groovy javascript julia nim ruby swift setl unix unicode standard-ml pascal regex csharp common-lisp scheme objective-c numpy mime http sagemath llvmir jvm java-bytecode cil pyrex mercurial python-for-s60 qt django scipy matplotlib gdb freebsd ecmascript ocaml tcl erlang pandas
4,SQL,1974,queryLanguage,4,324,2022,6,182,37,7179119,219617,IBM,United States,sql listen ess-kew-el listen see-kw l skweel structured query language domain-specific language used programming designed managing data held relational database management system rdbms stream processing relational data stream management system rdsms comparison older read/write apis like isam vsam sql offers two main advantages first introduced concept accessing many records one single command second eliminates need specify reach record e.g without index originally based upon relational algebra tuple relational calculus sql consists data definition language data manipulation language data control language scope sql includes data insert query update delete schema creation modification data access control although sql often described great extent declarative language 4gl also includes procedural elements sql one first commercial languages edgar f. codd 's relational model described influential 1970 paper `` relational model data large shared data banks '' despite entirely adhering relational model described codd became widely used database language sql became standard american national standards institute ansi 1986 international organization standardization iso 1987 since standard revised include larger set features despite existence standards sql code completely portable among different database systems without adjustments,sql-92 datalog linq powershell c sql-psm sqlpl transact-sql mysql pl-sql ada postgresql plpgsql java perl python tcl javascript xml xquery dot-ql isbl quel mumps isbn doi
5,C++,1985,pl,5,461,2022,34,128,6,4128238,61098,Bell Labs,United States,c++ pronounced cee plus plus general-purpose programming language imperative object-oriented generic programming features also providing facilities low-level memory manipulation designed bias toward system programming embedded resource-constrained large systems performance efficiency flexibility use design highlights c++ also found useful many contexts key strengths software infrastructure resource-constrained applications including desktop applications servers e.g e-commerce web search sql servers performance-critical applications e.g telephone switches space probes c++ compiled language implementations available many platforms many vendors provide c++ compilers including free software foundation microsoft intel ibm c++ standardized international organization standardization iso latest standard version ratified published iso december 2014 iso/iec 14882:2014 informally known c++14 c++ programming language initially standardized 1998 iso/iec 14882:1998 amended c++03 iso/iec 14882:2003 standard current c++14 standard supersedes c++11 new features enlarged standard library initial standardization 1998 c++ developed bjarne stroustrup bell labs since 1979 extension c language wanted efficient flexible language similar c also provided high-level features program organization c++17 standard due july 2017 draft largely implemented compilers already c++20 next planned standard thereafter many programming languages influenced c++ including c java newer versions c,ada algol-68 c clu ml simula python csharp chapel d java lua perl php rust nim sql bcpl unix assembly-language regex
6,HTML,1991,textMarkup,6,274,2022,6,116,7,5570873,69531,Conseil Europ¨¦en pour la Recherche Nucl¨¦aire,Switzerland,hypertext markup language html standard markup language creating web pages web applications cascading style sheets css javascript forms triad cornerstone technologies world wide web web browsers receive html documents web server local storage render multimedia web pages html describes structure web page semantically originally included cues appearance document html elements building blocks html pages html constructs images objects interactive forms may embedded rendered page provides means create structured documents denoting structural semantics text headings paragraphs lists links quotes items html elements delineated tags written using angle brackets tags img input introduce content page directly others p ... /p surround provide information document text may include tags sub-elements browsers display html tags use interpret content page html embed programs written scripting language javascript affect behavior content web pages inclusion css defines look layout content world wide web consortium w3c maintainer html css standards encouraged use css explicit presentational html since 1997,sgml css javascript webgl dtd rfc xml unicode utf-8 http fat
7,Linux,1991,os,7,27,2018,0,2,0,3229009,32007,"Linux Kernel Organization, Inc",United States,linux listen lin- ks family free open-source software operating systems built around linux kernel typically linux packaged form known linux distribution distro short desktop server use defining component linux distribution linux kernel operating system kernel first released september 17 1991 linus torvalds many linux distributions use word `` linux '' name free software foundation uses name gnu/linux refer operating system family well specific distributions emphasize linux distributions linux kernel common kernel also numerous utilities libraries large proportion gnu project led controversy.linux originally developed personal computers based intel x86 architecture since ported platforms operating system dominance linux kernel-based android os smartphones linux largest installed base general-purpose operating systems linux also leading operating system servers big iron systems mainframe computers os used top500 supercomputers since november 2017 gradually eliminated competitors used around 2.3 desktop computers chromebook runs linux kernel-based chrome os dominates us k¨c12 education market represents nearly 20 sub- 300 notebook sales us linux also runs embedded systems i.e devices whose operating system typically built firmware highly tailored system includes tivo similar dvr devices network routers facility automation controls televisions video game consoles smartwatches many smartphones tablet computers run android linux derivatives.the development linux one prominent examples free open-source software collaboration underlying source code may used modified distributed¡ªcommercially non-commercially¡ªby anyone terms respective licenses gnu general public license popular mainstream linux distributions arch linux centos debian raspbian fedora gentoo linux linux mint mageia opensuse ubuntu together commercial distributions red hat enterprise linux suse linux enterprise server distributions include linux kernel supporting utilities libraries many provided gnu project usually large amount application software fulfil distribution 's intended use desktop linux distributions include windowing system x11 mir wayland implementation accompanying desktop environment gnome kde plasma distributions may also include less resource-intensive desktop lxde xfce distributions intended run servers may omit graphical environments standard install instead include software set operate solution stack lamp linux freely redistributable anyone may create distribution intended use,c assembly-language arc-isa arm hexagon mips nios powerpc risc-v sparc x86-isa android unix freebsd makefile ftp qt elf ada go fortran php perl java rust haskell llvmir basic visual-basic gambas freebasic quickbasic qb64 sed grep emacs-lisp csharp vala scheme eclipse-editor vim-editor nano-editor emacs-editor mariadb mysql python ios opengl lisp
8,XML,1996,dataNotation,8,274,2022,4,151,37,1917452,42277,Unknown,Unknown,computing extensible markup language xml markup language defines set rules encoding documents format human-readable machine-readable w3c 's xml 1.0 specification several related specifications¡ªall free open standards¡ªdefine xml design goals xml emphasize simplicity generality usability across internet textual data format strong support via unicode different human languages although design xml focuses documents language widely used representation arbitrary data structures used web services several schema systems exist aid definition xml-based languages programmers developed many application programming interfaces apis aid processing xml data,sgml unicode soap ooxml utf-8 ascii html regex xpath xquery scala java smalltalk php python ecmascript rdf javascript hytime json yaml s-expressions
9,PHP,1995,pl,9,603,2022,15,274,26,2356101,30349,Zend,Canada,php server-side scripting language designed primarily web development also used general-purpose programming language originally created rasmus lerdorf 1994 php reference implementation produced php development team php originally stood personal home page stands recursive acronym php hypertext preprocessor php code may embedded html html5 markup used combination various web template systems web content management systems web frameworks php code usually processed php interpreter implemented module web server common gateway interface cgi executable web server software combines results interpreted executed php code may type data including images generated web page php code may also executed command-line interface cli used implement standalone graphical applications standard php interpreter powered zend engine free software released php license php widely ported deployed web servers almost every operating system platform free charge php language evolved without written formal specification standard 2014 leaving canonical php interpreter de facto standard since 2014 work gone create formal php specification,c hhvm parrot-vm java perl tcl falcon hack html x86-isa unicode wordpress json mysql mime javascript xml parrot-internal-representation cil ftp postgresql sqlite aws java-server-pages linux python mediawiki drupal
